,DATETIME,DATE,TIME,PEAK_OFFPEAK,HOKKAIDO,TOHOKU,TOKYO,CHUBU,HOKURIKU,KANSAI,CHUGOKU,SHIKOKU,KYUSHU,AMOUNT_OF_BIDS_SOLD_(KWH),AMOUNT_OF_BIDS_PURCHASED_(KWH),TOTAL_CONTRACTED_QUANTITY_(KWH)
4459,2023-04-03 21:30:00,2023-04-03,21:30:00,offpeak,14.24,14.24,14.24,14.24,10.83,10.83,10.83,10.83,10.83,18658850.0,16674500.0,13413950.0
4460,2023-04-03 22:00:00,2023-04-03,22:00:00,offpeak,14.6,14.6,14.6,14.6,10.64,10.64,10.64,10.64,10.64,18336800.0,16732100.0,13382650.0
4461,2023-04-03 22:30:00,2023-04-03,22:30:00,offpeak,14.23,14.23,14.23,14.23,10.83,10.83,10.83,10.83,10.83,18507250.0,16277850.0,13109750.0
4462,2023-04-03 23:00:00,2023-04-03,23:00:00,offpeak,14.22,14.22,14.22,14.22,10.81,10.81,10.81,10.81,10.81,17852900.0,15784550.0,12612150.0
4463,2023-04-03 23:30:00,2023-04-03,23:30:00,offpeak,14.22,14.22,14.22,10.48,10.48,10.48,10.48,10.48,10.48,17090300.0,15400650.0,12475450.0
4464,2023-04-04 00:00:00,2023-04-04,00:00:00,offpeak,14.22,14.22,14.22,14.22,10.48,10.48,10.48,10.48,10.48,15362500.0,15946150.0,12682450.0
4465,2023-04-04 00:30:00,2023-04-04,00:30:00,offpeak,14.0,14.0,14.0,14.0,10.17,10.17,10.17,10.17,10.17,17445750.0,16284500.0,12989300.0
4466,2023-04-04 01:00:00,2023-04-04,01:00:00,offpeak,13.93,13.93,13.93,13.93,10.17,10.17,10.17,10.17,8.5,18470650.0,16103050.0,13043300.0
4467,2023-04-04 01:30:00,2023-04-04,01:30:00,offpeak,11.18,11.18,11.18,11.18,10.17,10.17,10.17,10.17,8.5,18676950.0,15998250.0,13041950.0
4468,2023-04-04 02:00:00,2023-04-04,02:00:00,offpeak,11.39,11.39,11.39,11.39,10.17,10.17,10.17,10.17,10.17,18559350.0,16033150.0,12992550.0
