DATE,DAY_OF_THE_WEEK,TTS,TTB,TTM
2022-12-20 00:00:00,Thuesday,135.54,133.54,134.54
2022-12-21 00:00:00,Wednesday,132.78,130.78,131.78
2022-12-22 00:00:00,Thursday,133.29,131.29,132.29
2022-12-23 00:00:00,Friday,133.77,131.77,132.77
2022-12-24 00:00:00,Saturday,,,
2022-12-25 00:00:00,Sunday,,,
2022-12-26 00:00:00,Monday,133.33,131.33,132.33
2022-12-27 00:00:00,Thuesday,134.24,132.24,133.24
2022-12-28 00:00:00,Wednesday,134.94,132.94,133.94
2022-12-29 00:00:00,Thursday,135.16,133.16,134.16
2022-12-30 00:00:00,Friday,133.7,131.7,132.7
2022-12-31 00:00:00,Saturday,,,
2023-01-01 00:00:00,Sunday,,,
2023-01-02 00:00:00,Monday,,,
2023-01-03 00:00:00,Thuesday,,,
2023-01-04 00:00:00,Wednesday,132.01,130.01,131.01
2023-01-05 00:00:00,Thursday,133.16,131.16,132.16
2023-01-06 00:00:00,Friday,134.74,132.74,133.74
2023-01-07 00:00:00,Saturday,,,
2023-01-08 00:00:00,Sunday,,,
2023-01-09 00:00:00,Monday,,,
2023-01-10 00:00:00,Thuesday,132.85,130.85,131.85
2023-01-11 00:00:00,Wednesday,133.4,131.4,132.4
2023-01-12 00:00:00,Thursday,132.99,130.99,131.99
2023-01-13 00:00:00,Friday,130.28,128.28,129.28
2023-01-14 00:00:00,Saturday,,,
2023-01-15 00:00:00,Sunday,,,
2023-01-16 00:00:00,Monday,128.92,126.92,127.92
2023-01-17 00:00:00,Thuesday,129.46,127.46,128.46
2023-01-18 00:00:00,Wednesday,132.04,130.04,131.04
2023-01-19 00:00:00,Thursday,129.49,127.49,128.49
2023-01-20 00:00:00,Friday,129.71,127.71,128.71
2023-01-21 00:00:00,Saturday,,,
2023-01-22 00:00:00,Sunday,,,
2023-01-23 00:00:00,Monday,130.3,128.3,129.3
2023-01-24 00:00:00,Thuesday,131.42,129.42,130.42
2023-01-25 00:00:00,Wednesday,131.4,129.4,130.4
2023-01-26 00:00:00,Thursday,130.27,128.27,129.27
2023-01-27 00:00:00,Friday,130.59,128.59,129.59
2023-01-28 00:00:00,Saturday,,,
2023-01-29 00:00:00,Sunday,,,
2023-01-30 00:00:00,Monday,131.11,129.11,130.11
2023-01-31 00:00:00,Thuesday,131.47,129.47,130.47
2023-02-01 00:00:00,Wednesday,130.9,128.9,129.9
2023-02-02 00:00:00,Thursday,129.5,127.5,128.5
2023-02-03 00:00:00,Friday,129.75,127.75,128.75
2023-02-04 00:00:00,Saturday,,,
2023-02-05 00:00:00,Sunday,,,
2023-02-06 00:00:00,Monday,133.4,131.4,132.4
2023-02-07 00:00:00,Thuesday,133.58,131.58,132.58
2023-02-08 00:00:00,Wednesday,131.93,129.93,130.93
2023-02-09 00:00:00,Thursday,132.64,130.64,131.64
2023-02-10 00:00:00,Friday,132.71,130.71,131.71
2023-02-11 00:00:00,Saturday,,,
2023-02-12 00:00:00,Sunday,,,
2023-02-13 00:00:00,Monday,132.78,130.78,131.78
2023-02-14 00:00:00,Thuesday,133.32,131.32,132.32
2023-02-15 00:00:00,Wednesday,133.79,131.79,132.79
2023-02-16 00:00:00,Thursday,135.15,133.15,134.15
2023-02-17 00:00:00,Friday,135.4,133.4,134.4
2023-02-18 00:00:00,Saturday,,,
2023-02-19 00:00:00,Sunday,,,
2023-02-20 00:00:00,Monday,135.45,133.45,134.45
2023-02-21 00:00:00,Thuesday,135.32,133.32,134.32
2023-02-22 00:00:00,Wednesday,135.9,133.9,134.9
2023-02-23 00:00:00,Thursday,,,
2023-02-24 00:00:00,Friday,135.19,133.19,134.19
2023-02-25 00:00:00,Saturday,,,
2023-02-26 00:00:00,Sunday,,,
2023-02-27 00:00:00,Monday,137.27,135.27,136.27
2023-02-28 00:00:00,Thuesday,137.33,135.33,136.33
2023-03-01 00:00:00,Wednesday,137.41,135.41,136.41
2023-03-02 00:00:00,Thursday,137.15,135.15,136.15
2023-03-03 00:00:00,Friday,137.7,135.7,136.7
2023-03-04 00:00:00,Saturday,,,
2023-03-05 00:00:00,Sunday,,,
2023-03-06 00:00:00,Monday,136.92,134.92,135.92
2023-03-07 00:00:00,Thuesday,137.13,135.13,136.13
2023-03-08 00:00:00,Wednesday,138.35,136.35,137.35
2023-03-09 00:00:00,Thursday,138.1,136.1,137.1
2023-03-10 00:00:00,Friday,137.01,135.01,136.01
2023-03-11 00:00:00,Saturday,,,
2023-03-12 00:00:00,Sunday,,,
2023-03-13 00:00:00,Monday,135.34,133.34,134.34
2023-03-14 00:00:00,Thuesday,134.21,132.21,133.21
2023-03-15 00:00:00,Wednesday,135.62,133.62,134.62
2023-03-16 00:00:00,Thursday,134.31,132.31,133.31
2023-03-17 00:00:00,Friday,134.54,132.54,133.54
2023-03-18 00:00:00,Saturday,,,
2023-03-19 00:00:00,Sunday,,,
2023-03-20 00:00:00,Monday,133.68,131.68,132.68
2023-03-21 00:00:00,Thuesday,,,
2023-03-22 00:00:00,Wednesday,133.54,131.54,132.54
2023-03-23 00:00:00,Thursday,131.92,129.92,130.92
2023-03-24 00:00:00,Friday,131.65,129.65,130.65
2023-03-25 00:00:00,Saturday,,,
2023-03-26 00:00:00,Sunday,,,
2023-03-27 00:00:00,Monday,131.65,129.65,130.65
2023-03-28 00:00:00,Thuesday,131.66,129.66,130.66
2023-03-29 00:00:00,Wednesday,132.28,130.28,131.28
2023-03-30 00:00:00,Thursday,133.55,131.55,132.55
2023-03-31 00:00:00,Friday,134.53,132.53,133.53
2023-04-01 00:00:00,Saturday,,,
2023-04-02 00:00:00,Sunday,,,
2023-04-03 00:00:00,Monday,134.15,132.15,133.15
2023-04-04 00:00:00,Thuesday,133.62,131.62,132.62
2023-04-05 00:00:00,Wednesday,132.57,130.57,131.57
2023-04-06 00:00:00,Thursday,132.19,130.19,131.19
2023-04-07 00:00:00,Friday,132.78,130.78,131.78
2023-04-08 00:00:00,Saturday,,,
2023-04-09 00:00:00,Sunday,,,
