DATE,SETTLE_DOLLARS,USDJPY,JPY_MMBTU
2022-04-07 00:00:00,33.1,123.66,4093
2022-04-06 00:00:00,33.44,123.9,4143
2022-04-05 00:00:00,33.455,122.56,4100
2022-04-04 00:00:00,32.95,122.42,4034
2022-04-01 00:00:00,34.69,122.2,4239
2022-03-31 00:00:00,35.435,122.39,4337
2022-03-30 00:00:00,34.15,122.48,4183
2022-03-29 00:00:00,33.875,124.22,4208
2022-03-28 00:00:00,33.97,122.24,4152
2022-03-25 00:00:00,34.43,122.07,4203
2022-03-24 00:00:00,34.68,121.07,4199
2022-03-23 00:00:00,34.12,121.16,4134
2022-03-22 00:00:00,34.175,120.04,4102
2022-03-21 00:00:00,34.81,118.69,4132
2022-03-18 00:00:00,35.495,118.69,4213
2022-03-17 00:00:00,35.555,118.99,4231
2022-03-16 00:00:00,33.635,118.4,3982
2022-03-15 00:00:00,37.445,118.25,4428
2022-03-14 00:00:00,37.25,117.61,4381
2022-03-11 00:00:00,37.145,116.32,4321
2022-03-10 00:00:00,38.325,116.01,4446
2022-03-09 00:00:00,38.965,115.89,4516
2022-03-08 00:00:00,42.62,115.49,4922
2022-03-07 00:00:00,51.765,115.02,5954
2022-03-04 00:00:00,38.65,115.42,4461
2022-03-03 00:00:00,43.6,115.63,5041
2022-03-02 00:00:00,38.505,115.01,4428
2022-03-01 00:00:00,31.5,115.28,3631
2022-02-28 00:00:00,27.95,115.55,3230
2022-02-25 00:00:00,27.51,115.57,3179
2022-02-24 00:00:00,37.01,114.95,4254
2022-02-23 00:00:00,28.965,114.79,3325
2022-02-22 00:00:00,25.96,114.79,2980
2022-02-18 00:00:00,23.805,114.95,2736
2022-02-17 00:00:00,24.51,115.48,2830
2022-02-16 00:00:00,23.075,115.7,2670
2022-02-15 00:00:00,24.815,115.42,2864
2022-02-14 00:00:00,24.885,115.43,2872
2022-02-11 00:00:00,24.57,115.61,2841
2022-02-10 00:00:00,24.795,115.61,2867
2022-02-09 00:00:00,24.715,115.56,2856
2022-02-08 00:00:00,25.305,115.3,2918
2022-02-07 00:00:00,25.1,115.26,2893
2022-02-04 00:00:00,25.35,115.01,2916
2022-02-03 00:00:00,24.34,114.46,2786
2022-02-02 00:00:00,24.2,114.71,2776
2022-02-01 00:00:00,23.705,115.16,2730
2022-01-31 00:00:00,24.71,115.44,2853
2022-01-28 00:00:00,26.81,115.46,3095
2022-01-27 00:00:00,25.275,114.64,2898
2022-01-26 00:00:00,25.825,113.84,2940
2022-01-25 00:00:00,26.005,114.01,2965
2022-01-24 00:00:00,25.19,113.86,2868
2022-01-21 00:00:00,22.09,113.84,2515
2022-01-20 00:00:00,20.525,114.31,2346
2022-01-19 00:00:00,21.14,114.72,2425
2022-01-18 00:00:00,22.935,114.56,2627
2022-01-14 00:00:00,32.845,114.11,3748
2022-01-13 00:00:00,32.605,114.65,3738
2022-01-12 00:00:00,33.0,115.34,3806
2022-01-11 00:00:00,32.915,115.34,3796
2022-01-10 00:00:00,33.265,115.98,3858
2022-01-07 00:00:00,33.95,115.98,3938
2022-01-06 00:00:00,34.07,116.05,3954
2022-01-05 00:00:00,34.19,116.21,3973
2022-01-04 00:00:00,32.745,115.44,3780
